,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.8264600660469668,2020-11-28 21:28:29.872443,2020-11-29 12:56:21.050035,0 days 15:27:51.177592,0.6,0.64,5.0,0.17334135582154447,24.0,5.0,943.0,0.0,5.0,0.98,COMPLETE
1,1,0.8215722847358121,2020-11-28 21:28:29.882648,2020-11-29 07:13:32.356881,0 days 09:45:02.474233,0.79,0.58,2.0,0.25030196935015825,25.0,4.0,989.0,0.0,1.0,0.54,COMPLETE
2,2,0.8245035011007827,2020-11-28 21:28:29.895023,2020-11-29 02:15:27.825994,0 days 04:46:57.930971,0.33999999999999997,0.67,4.0,0.029240882650946706,13.0,5.0,414.0,1.0,3.0,0.73,COMPLETE
3,3,0.8235288496819961,2020-11-28 21:28:29.936422,2020-11-29 10:38:19.926535,0 days 13:09:49.990113,0.83,0.56,2.0,0.007614192012659917,15.0,2.0,780.0,4.0,5.0,0.62,COMPLETE
4,4,0.8184438447896282,2020-11-28 21:28:29.960312,2020-11-28 22:50:59.213195,0 days 01:22:29.252883,0.58,0.16,1.0,0.34938562219484565,21.0,1.0,123.0,3.0,4.0,0.79,COMPLETE
5,5,0.8247041646281801,2020-11-28 21:28:29.988477,2020-11-29 00:47:36.517421,0 days 03:19:06.528944,0.74,0.85,0.0,0.1949193957472789,13.0,1.0,460.0,3.0,3.0,0.6799999999999999,COMPLETE
6,6,0.8223523880870841,2020-11-28 21:28:30.037577,2020-11-29 00:56:20.755587,0 days 03:27:50.718010,0.9,0.62,3.0,0.24034054585970474,3.0,2.0,619.0,5.0,5.0,0.86,COMPLETE
7,7,0.8227449241682974,2020-11-28 21:28:30.064998,2020-11-29 01:40:09.772373,0 days 04:11:39.707375,0.19,0.52,2.0,0.014000570099968282,11.0,1.0,476.0,2.0,5.0,0.55,COMPLETE
8,8,0.8231412824119374,2020-11-28 21:28:30.077461,2020-11-28 23:45:20.403997,0 days 02:16:50.326536,0.45999999999999996,0.48,1.0,0.023085263493292117,2.0,5.0,769.0,0.0,1.0,0.55,COMPLETE
9,9,0.8194257583170254,2020-11-28 21:28:30.075069,2020-11-29 00:21:31.430629,0 days 02:53:01.355560,0.91,0.64,4.0,0.44585040047754904,5.0,0.0,296.0,1.0,3.0,0.55,COMPLETE
10,10,0.8248968016144813,2020-11-28 21:28:30.076440,2020-11-29 05:16:58.010629,0 days 07:48:27.934189,0.82,0.67,4.0,0.06336418381558025,16.0,2.0,350.0,1.0,1.0,1.0,COMPLETE
11,11,0.8223539169520547,2020-11-28 21:28:30.068366,2020-11-29 08:22:47.041307,0 days 10:54:16.972941,0.2,0.9,3.0,0.006544405512644387,22.0,3.0,846.0,5.0,4.0,0.79,COMPLETE
12,12,0.8282197896281801,2020-11-28 21:28:30.137113,2020-11-29 03:56:33.310417,0 days 06:28:03.173304,0.33999999999999997,0.99,2.0,0.13122737616987748,22.0,1.0,331.0,1.0,4.0,0.8300000000000001,COMPLETE
13,13,0.82841510212818,2020-11-28 21:28:30.164474,2020-11-29 03:44:11.207019,0 days 06:15:41.042545,0.73,0.78,2.0,0.015022446811207171,22.0,5.0,415.0,0.0,3.0,0.67,COMPLETE
14,14,0.8247026357632092,2020-11-28 21:28:30.069209,2020-11-28 22:55:23.636211,0 days 01:26:53.567002,0.67,0.72,1.0,0.09311950211844884,2.0,4.0,350.0,2.0,5.0,0.78,COMPLETE
15,15,0.8186441261007827,2020-11-28 21:28:30.063053,2020-11-29 03:12:33.534113,0 days 05:44:03.471060,0.79,0.4,2.0,0.3258163555531716,23.0,4.0,378.0,0.0,0.0,0.99,COMPLETE
16,16,0.8194265227495107,2020-11-28 21:28:30.221931,2020-11-29 01:09:54.651795,0 days 03:41:24.429864,0.93,0.73,5.0,0.31385276024106673,12.0,5.0,302.0,2.0,0.0,0.51,COMPLETE
17,17,0.8121934625733855,2020-11-28 21:28:30.226348,2020-11-28 23:05:10.762891,0 days 01:36:40.536543,0.17,0.6799999999999999,3.0,0.010765800296065718,5.0,5.0,264.0,4.0,3.0,0.8400000000000001,COMPLETE
18,18,0.8188405852495106,2020-11-28 21:28:30.078889,2020-11-28 22:48:45.116224,0 days 01:20:15.037335,0.39,0.12000000000000001,4.0,0.06357184314886193,2.0,0.0,810.0,3.0,1.0,0.96,COMPLETE
19,19,0.8178621116682974,2020-11-28 21:28:30.269039,2020-11-29 00:58:44.677148,0 days 03:30:14.408109,0.88,0.51,3.0,0.007715705328245861,14.0,5.0,240.0,2.0,2.0,0.65,COMPLETE
20,20,0.8233335371819962,2020-11-28 21:28:30.271586,2020-11-29 01:18:38.626027,0 days 03:50:08.354441,0.4,0.22,2.0,0.0726464730599639,22.0,5.0,591.0,0.0,1.0,0.66,COMPLETE
21,21,0.8170812438845401,2020-11-28 21:28:30.275241,2020-11-28 22:51:32.971695,0 days 01:23:02.696454,0.53,0.63,4.0,0.008943867060028527,6.0,4.0,124.0,0.0,1.0,0.89,COMPLETE
22,22,0.8221608977495108,2020-11-28 21:28:30.317036,2020-11-29 01:00:13.797699,0 days 03:31:43.480663,0.94,0.89,2.0,0.016712723710715117,25.0,2.0,148.0,2.0,5.0,0.62,COMPLETE
23,23,0.8205949578033268,2020-11-28 21:28:30.313496,2020-11-28 23:56:57.674217,0 days 02:28:27.360721,0.28,0.49,1.0,0.009625532816820563,12.0,3.0,187.0,1.0,3.0,0.86,COMPLETE
24,24,0.8237249266144815,2020-11-28 22:48:46.273359,2020-11-29 00:41:06.414026,0 days 01:52:20.140667,0.2,0.88,1.0,0.03643038402007812,3.0,4.0,554.0,4.0,4.0,0.65,COMPLETE
