,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.8194261405332682,2020-11-28 21:28:27.577394,2020-11-28 23:34:43.227029,0 days 02:06:15.649635,0.6,0.27,2.0,0.36691582810900386,3.0,4.0,472.0,1.0,1.0,0.96,COMPLETE
1,1,0.8270444746819962,2020-11-28 21:28:27.597115,2020-11-29 00:26:21.493635,0 days 02:57:53.896520,0.9,0.6799999999999999,2.0,0.027329738106444908,25.0,1.0,135.0,1.0,2.0,0.5700000000000001,COMPLETE
2,2,0.8176671813845401,2020-11-28 21:28:27.647949,2020-11-29 01:34:19.312303,0 days 04:05:51.664354,0.58,0.6,4.0,0.011068871311959667,18.0,0.0,171.0,5.0,1.0,0.87,COMPLETE
3,3,0.8229394722358121,2020-11-28 21:28:27.675950,2020-11-29 09:19:59.254323,0 days 11:51:31.578373,0.79,0.84,4.0,0.07403848572108056,20.0,4.0,680.0,5.0,0.0,0.8200000000000001,COMPLETE
4,4,0.81883905638454,2020-11-28 21:28:27.738641,2020-11-29 00:16:01.784382,0 days 02:47:34.045741,0.35,0.39,5.0,0.022542890725959813,3.0,3.0,890.0,3.0,0.0,0.5700000000000001,COMPLETE
5,5,0.8250902030332681,2020-11-28 21:28:27.763331,2020-11-29 04:20:12.265646,0 days 06:51:44.502315,0.89,0.48,1.0,0.10324782033384655,6.0,3.0,942.0,5.0,5.0,0.54,COMPLETE
6,6,0.821767597235812,2020-11-28 21:28:27.816217,2020-11-29 00:28:53.475859,0 days 03:00:25.659642,0.5700000000000001,0.44000000000000006,2.0,0.01943437472410008,3.0,2.0,630.0,4.0,5.0,0.91,COMPLETE
7,7,0.8260663833170254,2020-11-28 21:28:27.841266,2020-11-29 03:08:40.180538,0 days 05:40:12.339272,0.36,0.5,3.0,0.050024058499357496,13.0,3.0,528.0,4.0,4.0,0.74,COMPLETE
8,8,0.8252862799657535,2020-11-28 21:28:27.865631,2020-11-29 00:33:59.346431,0 days 03:05:31.480800,0.9,0.35,1.0,0.2017839564896383,9.0,0.0,214.0,0.0,3.0,0.81,COMPLETE
9,9,0.8205949578033268,2020-11-28 21:28:27.888444,2020-11-29 00:55:40.157834,0 days 03:27:12.269390,0.52,0.4,3.0,0.20189667518387233,6.0,4.0,454.0,5.0,5.0,0.74,COMPLETE
10,10,0.8188375275195694,2020-11-28 21:28:27.891098,2020-11-29 00:26:37.455919,0 days 02:58:09.564821,0.5700000000000001,0.75,4.0,0.006039640773454225,15.0,4.0,189.0,1.0,1.0,0.6,COMPLETE
11,11,0.8245061766144813,2020-11-28 21:28:27.917448,2020-11-29 10:41:22.159160,0 days 13:12:54.241712,0.66,0.85,4.0,0.06474027556176136,25.0,3.0,766.0,3.0,1.0,0.76,COMPLETE
12,12,0.8180555130870841,2020-11-28 21:28:27.920905,2020-11-29 00:12:54.836950,0 days 02:44:26.916045,0.27,0.93,0.0,0.012362049296099775,3.0,4.0,558.0,3.0,0.0,0.95,COMPLETE
13,13,0.822355828033268,2020-11-28 21:28:27.983044,2020-11-29 12:29:58.529141,0 days 15:01:30.546097,0.8,0.8099999999999999,4.0,0.14628640231216813,15.0,0.0,636.0,0.0,3.0,0.64,COMPLETE
14,14,0.8225511405332682,2020-11-28 21:28:27.991004,2020-11-29 03:15:07.005887,0 days 05:46:39.014883,0.93,0.14,1.0,0.07725607190238669,18.0,2.0,959.0,4.0,5.0,0.52,COMPLETE
15,15,0.8264566261007827,2020-11-28 21:28:28.029972,2020-11-28 22:34:15.293027,0 days 01:05:47.263055,0.1,0.35,0.0,0.09627080151138845,25.0,3.0,340.0,0.0,2.0,0.8400000000000001,COMPLETE
16,16,0.820989787181996,2020-11-28 21:28:28.059840,2020-11-29 06:32:58.156607,0 days 09:04:30.096767,0.82,0.69,1.0,0.281698131602715,16.0,2.0,704.0,1.0,1.0,0.65,COMPLETE
17,17,0.823527703033268,2020-11-28 21:28:28.063744,2020-11-29 02:31:16.583269,0 days 05:02:48.519525,0.54,0.96,5.0,0.05769118595109433,15.0,2.0,241.0,1.0,4.0,0.8,COMPLETE
18,18,0.8260694410469668,2020-11-28 21:28:28.130186,2020-11-29 05:53:23.718793,0 days 08:24:55.588607,0.58,0.73,2.0,0.0173041619409455,20.0,4.0,462.0,4.0,0.0,0.99,COMPLETE
19,19,0.8192273880870842,2020-11-28 21:28:28.190936,2020-11-29 01:57:34.078830,0 days 04:29:05.887894,0.45000000000000007,0.48,1.0,0.3761665298021222,24.0,3.0,518.0,3.0,5.0,0.58,COMPLETE
20,20,0.821575724681996,2020-11-28 21:28:28.189362,2020-11-29 02:08:12.809235,0 days 04:39:44.619873,0.61,0.27,5.0,0.25734668054818843,10.0,3.0,420.0,2.0,0.0,0.98,COMPLETE
21,21,0.8248952727495107,2020-11-28 21:28:28.219442,2020-11-29 06:59:25.772415,0 days 09:30:57.552973,0.6,0.29000000000000004,1.0,0.10050803579701599,21.0,0.0,563.0,0.0,1.0,0.95,COMPLETE
22,22,0.8209871116682976,2020-11-28 21:28:28.228859,2020-11-29 01:40:45.638865,0 days 04:12:17.410006,0.19,0.82,2.0,0.005500202335529671,6.0,1.0,595.0,0.0,5.0,0.74,COMPLETE
23,23,0.824114787181996,2020-11-28 21:28:28.222998,2020-11-28 23:51:48.528459,0 days 02:23:20.305461,0.45000000000000007,0.41000000000000003,2.0,0.06716959172235148,2.0,4.0,825.0,4.0,2.0,0.63,COMPLETE
24,24,0.8075048159246576,2020-11-28 22:34:15.487574,2020-11-28 23:34:50.020226,0 days 01:00:34.532652,0.11,0.56,0.0,0.0050915082429829365,8.0,2.0,152.0,2.0,2.0,0.54,COMPLETE
25,25,0.8176660347358121,2020-11-28 23:35:14.610996,2020-11-29 04:05:15.888389,0 days 04:30:01.277393,0.15000000000000002,0.53,5.0,0.011594228501029886,11.0,3.0,873.0,3.0,0.0,0.66,COMPLETE
26,26,0.8250898208170255,2020-11-28 23:35:30.605075,2020-11-29 08:40:42.884708,0 days 09:05:12.279633,0.8099999999999999,0.35,1.0,0.06648809496145983,19.0,0.0,534.0,1.0,4.0,0.74,COMPLETE
27,27,0.8303678449119374,2020-11-28 23:51:49.208386,2020-11-29 09:55:45.729619,0 days 10:03:56.521233,0.84,0.6799999999999999,3.0,0.04120530057061782,16.0,0.0,414.0,1.0,4.0,0.8400000000000001,COMPLETE
28,28,0.8233316261007829,2020-11-29 00:12:55.142912,2020-11-29 05:11:49.916414,0 days 04:58:54.773502,0.33999999999999997,0.7,1.0,0.008716368150200333,14.0,0.0,428.0,3.0,4.0,0.56,COMPLETE
29,29,0.8256772871819962,2020-11-29 00:16:02.750295,2020-11-29 10:19:20.983717,0 days 10:03:18.233422,0.73,0.97,4.0,0.10853723699584412,10.0,2.0,738.0,1.0,3.0,0.56,COMPLETE
30,30,0.826459683830724,2020-11-29 00:26:22.072881,2020-11-29 02:59:39.584526,0 days 02:33:17.511645,0.58,0.5700000000000001,0.0,0.11451111702925004,5.0,5.0,702.0,2.0,0.0,0.54,COMPLETE
31,31,0.8200105491682974,2020-11-29 00:26:37.931753,2020-11-29 01:58:21.429862,0 days 01:31:43.498109,0.19,0.44000000000000006,0.0,0.21540993054065288,23.0,4.0,725.0,4.0,4.0,0.51,COMPLETE
32,32,0.8211812775195695,2020-11-29 00:29:16.224833,2020-11-29 04:32:35.259949,0 days 04:03:19.035116,0.23,0.67,3.0,0.037770116134523773,24.0,1.0,305.0,5.0,4.0,0.87,COMPLETE
33,33,0.8164941597358121,2020-11-29 00:34:04.699505,2020-11-29 03:21:05.859085,0 days 02:47:01.159580,0.42000000000000004,0.82,5.0,0.017791947567796566,14.0,0.0,204.0,3.0,1.0,0.52,COMPLETE
34,34,0.8254827391144813,2020-11-29 00:55:40.628538,2020-11-29 07:35:04.214652,0 days 06:39:23.586114,0.28,0.7,3.0,0.0878299418121293,11.0,3.0,989.0,2.0,0.0,0.59,COMPLETE
35,35,0.8235280852495108,2020-11-29 01:34:20.433196,2020-11-29 06:28:36.353843,0 days 04:54:15.920647,0.79,0.98,3.0,0.008936855180835203,13.0,1.0,231.0,2.0,0.0,0.78,COMPLETE
36,36,0.8202096838307241,2020-11-29 01:41:07.552683,2020-11-29 02:22:09.949769,0 days 00:41:02.397086,0.56,0.24000000000000002,2.0,0.4452048614835744,2.0,3.0,531.0,1.0,2.0,0.74,COMPLETE
37,37,0.8164922486545988,2020-11-29 01:57:34.610994,2020-11-29 07:44:44.000150,0 days 05:47:09.389156,0.42000000000000004,0.53,4.0,0.37812567365694727,21.0,3.0,741.0,4.0,3.0,0.62,COMPLETE
38,38,0.8202070083170254,2020-11-29 01:58:21.775132,2020-11-29 05:08:51.318871,0 days 03:10:29.543739,0.99,0.6,0.0,0.006445205267792523,18.0,1.0,195.0,5.0,0.0,0.51,COMPLETE
39,39,0.8299814242906066,2020-11-29 02:08:13.273192,2020-11-29 04:35:23.083991,0 days 02:27:09.810799,0.9,0.42000000000000004,0.0,0.03901280833900837,3.0,4.0,703.0,0.0,0.0,0.77,COMPLETE
40,40,0.8231374602495107,2020-11-29 02:22:10.441620,2020-11-29 08:58:23.769032,0 days 06:36:13.327412,0.63,0.79,4.0,0.0640669849839995,5.0,2.0,953.0,4.0,4.0,0.59,COMPLETE
41,41,0.8319303449119374,2020-11-29 02:31:17.676921,2020-11-29 09:24:42.595466,0 days 06:53:24.918545,1.0,0.5700000000000001,0.0,0.041685679311546917,12.0,3.0,925.0,2.0,0.0,0.58,COMPLETE
42,42,0.8184472847358121,2020-11-29 02:59:40.201273,2020-11-29 09:32:00.764181,0 days 06:32:20.562908,0.69,0.61,5.0,0.010635168802308135,8.0,0.0,596.0,4.0,2.0,0.66,COMPLETE
43,43,0.8317365612769081,2020-11-29 03:08:40.513028,2020-11-29 14:27:56.049196,0 days 11:19:15.536168,0.98,0.67,1.0,0.027674790923095282,21.0,5.0,981.0,2.0,3.0,0.66,COMPLETE
44,44,0.8268495443982387,2020-11-29 03:15:07.798858,2020-11-29 05:31:53.312893,0 days 02:16:45.514035,0.78,0.66,0.0,0.12335329939461499,21.0,5.0,352.0,0.0,3.0,0.67,COMPLETE
45,45,0.8274389218444227,2020-11-29 03:21:06.817989,2020-11-29 05:21:54.147418,0 days 02:00:47.329429,0.73,0.66,0.0,0.1222722895350975,21.0,5.0,317.0,0.0,3.0,0.67,COMPLETE
46,46,0.8291994098581214,2020-11-29 04:05:16.686742,2020-11-29 07:24:29.343558,0 days 03:19:12.656816,0.77,0.64,1.0,0.11619945602174113,21.0,5.0,352.0,0.0,3.0,0.6799999999999999,COMPLETE
47,47,0.8293889891144814,2020-11-29 04:20:12.546095,2020-11-29 08:18:46.963939,0 days 03:58:34.417844,0.75,0.64,0.0,0.033183194297889136,21.0,5.0,386.0,0.0,3.0,0.67,COMPLETE
48,48,0.8290029507093933,2020-11-29 04:32:36.872020,2020-11-29 06:42:14.295215,0 days 02:09:37.423195,0.76,0.63,0.0,0.12671571606530826,21.0,5.0,351.0,0.0,3.0,0.69,COMPLETE
49,49,0.8284170132093933,2020-11-29 04:35:23.508829,2020-11-29 11:55:25.394953,0 days 07:20:01.886124,0.75,0.67,1.0,0.03093389995350849,21.0,5.0,688.0,2.0,3.0,0.69,COMPLETE
50,50,0.8291978809931507,2020-11-29 05:08:52.591599,2020-11-29 12:48:00.753496,0 days 07:39:08.161897,0.76,0.71,1.0,0.03170368654732685,20.0,5.0,713.0,2.0,3.0,0.6799999999999999,COMPLETE
51,51,0.8297834362769081,2020-11-29 05:11:50.101525,2020-11-29 11:39:12.374361,0 days 06:27:22.272836,0.77,0.65,0.0,0.030981239720688766,21.0,5.0,692.0,2.0,1.0,0.66,COMPLETE
52,52,0.8284166309931507,2020-11-29 05:21:54.521435,2020-11-29 08:47:53.418562,0 days 03:25:58.897127,0.76,0.67,1.0,0.03369969830868582,21.0,5.0,314.0,0.0,3.0,0.67,COMPLETE
53,53,0.828023330479452,2020-11-29 05:31:53.562332,2020-11-29 13:36:17.521341,0 days 08:04:23.959009,0.74,0.8,1.0,0.034910771684756266,21.0,5.0,732.0,1.0,3.0,0.6799999999999999,COMPLETE
54,54,0.8268533665606654,2020-11-29 05:53:24.862306,2020-11-29 09:22:10.747705,0 days 03:28:45.885399,0.76,0.64,1.0,0.03322839429649248,22.0,5.0,324.0,0.0,3.0,0.69,COMPLETE
