,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.8235257919520548,2020-11-30 13:09:04.403045,2020-11-30 20:00:43.626127,0 days 06:51:39.223082000,0.61,0.94,5.0,0.13796761807469232,25.0,3.0,508.0,4.0,0.0,0.8,COMPLETE
1,1,0.827433953033268,2020-11-30 13:09:04.419110,2020-11-30 18:59:34.966568,0 days 05:50:30.547458000,0.32,0.89,4.0,0.026043033337724154,10.0,0.0,430.0,2.0,0.0,0.8500000000000001,COMPLETE
2,2,0.8170762750733855,2020-11-30 13:09:04.481013,2020-11-30 15:13:35.089634,0 days 02:04:30.608621000,0.17,0.98,5.0,0.3671694608667682,8.0,1.0,205.0,2.0,4.0,0.91,COMPLETE
3,3,0.8282205540606654,2020-11-30 13:09:04.524104,2020-11-30 13:42:25.139163,0 days 00:33:20.615059000,0.39,0.22,2.0,0.09524263690216919,5.0,2.0,149.0,2.0,3.0,0.74,COMPLETE
4,4,0.8270482968444227,2020-11-30 13:09:04.546736,2020-11-30 16:41:21.630098,0 days 03:32:17.083362000,1.0,0.11,2.0,0.15135597046079136,24.0,5.0,780.0,3.0,4.0,0.58,COMPLETE
5,5,0.8252889554794521,2020-11-30 13:09:04.575203,2020-11-30 15:49:05.345350,0 days 02:40:00.770147000,0.45999999999999996,0.19,3.0,0.08304621213064832,14.0,5.0,458.0,2.0,2.0,0.54,COMPLETE
6,6,0.791089010518591,2020-11-30 13:09:04.603323,2020-11-30 15:00:16.250878,0 days 01:51:11.647555000,0.9,0.74,5.0,0.005132836158254332,2.0,3.0,779.0,5.0,3.0,0.58,COMPLETE
7,7,0.8317373257093934,2020-11-30 13:09:04.633139,2020-11-30 16:40:24.582601,0 days 03:31:19.949462000,0.31,0.65,1.0,0.021250344555539275,7.0,3.0,472.0,3.0,2.0,0.9199999999999999,COMPLETE
8,8,0.8272401693982389,2020-11-30 13:09:04.679584,2020-11-30 19:59:23.734524,0 days 06:50:19.054940000,0.7,0.37,3.0,0.09153910378703696,7.0,1.0,942.0,0.0,3.0,0.63,COMPLETE
9,9,0.826072498776908,2020-11-30 13:09:04.707298,2020-11-30 15:32:59.346923,0 days 02:23:54.639625000,0.42000000000000004,0.11,1.0,0.012008345434140227,5.0,3.0,677.0,3.0,1.0,0.96,COMPLETE
10,10,0.8311510059931507,2020-11-30 13:09:04.732975,2020-11-30 19:32:58.008278,0 days 06:23:53.275303000,0.26,0.65,1.0,0.07143569806535814,21.0,2.0,701.0,1.0,0.0,0.73,COMPLETE
11,11,0.8248937438845401,2020-11-30 13:09:04.762894,2020-11-30 22:13:35.760661,0 days 09:04:30.997767000,0.7,0.82,5.0,0.009775931465988192,11.0,1.0,715.0,1.0,4.0,0.5,COMPLETE
12,12,0.8295877415606654,2020-11-30 13:09:04.764018,2020-11-30 14:19:58.484079,0 days 01:10:53.720061000,0.56,0.53,0.0,0.2650682954722205,7.0,4.0,259.0,0.0,2.0,0.8400000000000001,COMPLETE
13,13,0.8266523208170253,2020-11-30 13:09:04.795952,2020-11-30 20:36:47.182618,0 days 07:27:42.386666000,0.53,0.67,3.0,0.06249526235075157,9.0,3.0,804.0,4.0,4.0,0.71,COMPLETE
14,14,0.828612707925636,2020-11-30 13:09:04.822606,2020-11-30 15:29:30.088439,0 days 02:20:25.265833000,0.99,0.39,1.0,0.14228795386570275,12.0,2.0,246.0,0.0,2.0,0.79,COMPLETE
15,15,0.8282171141144815,2020-11-30 13:09:04.848193,2020-11-30 20:13:31.412000,0 days 07:04:26.563807000,0.49,0.65,4.0,0.09366422917688565,13.0,3.0,558.0,2.0,3.0,0.9199999999999999,COMPLETE
16,16,0.8278257246819962,2020-11-30 13:09:04.903125,2020-12-01 02:01:14.259826,0 days 12:52:09.356701000,0.5700000000000001,0.95,2.0,0.15507664390673176,17.0,2.0,975.0,2.0,4.0,0.74,COMPLETE
17,17,0.8231424290606654,2020-11-30 13:09:04.930053,2020-11-30 15:14:25.294958,0 days 02:05:20.364905000,0.19,0.66,0.0,0.21436069730718077,19.0,3.0,724.0,3.0,3.0,0.55,COMPLETE
18,18,0.8235315251956947,2020-11-30 13:09:04.984034,2020-11-30 13:44:50.565643,0 days 00:35:45.581609000,0.94,0.48,1.0,0.16708407913004467,3.0,1.0,209.0,0.0,2.0,0.53,COMPLETE
19,19,0.8239167991682974,2020-11-30 13:09:04.987491,2020-11-30 15:40:25.224045,0 days 02:31:20.236554000,0.31,0.98,3.0,0.009543094677563554,3.0,1.0,898.0,2.0,4.0,0.69,COMPLETE
20,20,0.8268495443982389,2020-11-30 13:09:05.014979,2020-11-30 18:31:35.064542,0 days 05:22:30.049563000,0.55,0.66,1.0,0.10753840825543158,7.0,0.0,682.0,3.0,5.0,0.63,COMPLETE
21,21,0.8252889554794521,2020-11-30 13:09:05.023433,2020-11-30 16:39:44.846000,0 days 03:30:39.822567000,0.30000000000000004,0.96,1.0,0.010256231723371978,12.0,2.0,334.0,2.0,2.0,0.53,COMPLETE
22,22,0.8278261068982387,2020-11-30 13:09:05.019097,2020-11-30 20:55:24.311600,0 days 07:46:19.292503000,0.52,0.66,3.0,0.0257711358325209,10.0,2.0,777.0,4.0,5.0,0.63,COMPLETE
23,23,0.8219625275195694,2020-11-30 13:09:05.017095,2020-11-30 22:47:04.453204,0 days 09:37:59.436109000,0.23,0.54,4.0,0.0066870020893101635,23.0,2.0,831.0,1.0,3.0,0.61,COMPLETE
24,24,,2020-11-30 13:11:32.607389,,,,,,,,,,,,,RUNNING
25,25,,2020-11-30 13:11:32.636424,,,,,,,,,519.0,5.0,,,RUNNING
26,26,,2020-11-30 13:11:32.667509,,,,,,,,,,,,,RUNNING
27,27,,2020-11-30 13:11:32.695572,,,,,,,,,,,,,RUNNING
28,28,,2020-11-30 13:11:32.723915,,,,,,,,,,,,,RUNNING
29,29,,2020-11-30 13:11:32.753709,,,,,,,,,,,,,RUNNING
30,30,,2020-11-30 13:11:32.786661,,,,,,,,,,,,,RUNNING
31,31,,2020-11-30 13:11:32.818592,,,,,,,,,,,,,RUNNING
32,32,,2020-11-30 13:11:32.846517,,,,,,,,,,,,,RUNNING
33,33,,2020-11-30 13:11:32.874549,,,,,,,,,,,,,RUNNING
34,34,,2020-11-30 13:11:32.904298,,,,,,,,,,,,,RUNNING
35,35,,2020-11-30 13:11:32.934954,,,,,,,,,,,,,RUNNING
36,36,,2020-11-30 13:11:32.963758,,,,,,,,,,,,,RUNNING
37,37,,2020-11-30 13:11:32.993569,,,,,,,,,,,,,RUNNING
38,38,,2020-11-30 13:11:33.022038,,,,,,,,,,,,,RUNNING
39,39,,2020-11-30 13:11:33.054079,,,,,,,,,,,,,RUNNING
40,40,,2020-11-30 13:11:33.084309,,,,,,,,,,,,,RUNNING
41,41,,2020-11-30 13:11:33.113721,,,0.36,0.98,5.0,0.2954735789593527,7.0,5.0,,,4.0,0.63,RUNNING
42,42,,2020-11-30 13:11:33.148431,,,,,,,,,,,,,RUNNING
43,43,,2020-11-30 13:11:33.182872,,,,,,,,,,,,,RUNNING
44,44,,2020-11-30 13:11:33.214897,,,,,,,,,,,,,RUNNING
45,45,,2020-11-30 13:11:33.247344,,,,,,,,,,,,,RUNNING
46,46,,2020-11-30 13:11:33.279570,,,,,,,,,,,,,RUNNING
47,47,,2020-11-30 13:11:33.320696,,,,,,,,,,,,,RUNNING
