,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.8228864380516873,2020-11-24 10:15:24.288817,2020-11-24 14:51:51.295373,0 days 04:36:27.006556000,0.39,0.63,0,0.01553270373813379,24,3,942,1,0,0.7,COMPLETE
1,1,0.79844818659514,2020-11-24 10:15:24.351015,2020-11-24 10:23:03.433068,0 days 00:07:39.082053000,0.42000000000000004,0.21000000000000002,1,0.025108510979645105,3,3,127,1,2,0.74,COMPLETE
2,2,0.8152878083226376,2020-11-24 10:15:24.434305,2020-11-24 17:21:29.635024,0 days 07:06:05.200719000,0.87,0.36,3,0.3951190094149751,19,2,882,3,4,0.8,COMPLETE
3,3,0.8218982933447808,2020-11-24 10:15:24.477447,2020-11-24 11:34:13.674757,0 days 01:18:49.197310000,0.47,0.52,2,0.017113063288227485,19,5,194,1,2,0.8500000000000001,COMPLETE
4,4,0.8219054436883401,2020-11-24 10:15:24.523808,2020-11-24 12:05:14.901864,0 days 01:49:50.378056000,0.48,0.26,0,0.007930112715659573,13,5,448,0,4,0.74,COMPLETE
5,5,0.8150510297886292,2020-11-24 10:15:24.607292,2020-11-24 13:54:05.471219,0 days 03:38:40.863927000,0.75,0.99,2,0.20889964997361984,5,1,766,2,2,0.5,COMPLETE
6,6,0.8223723910369436,2020-11-24 10:15:24.618908,2020-11-24 12:27:11.974672,0 days 02:11:47.355764000,0.59,0.78,4,0.06445900062883121,4,0,587,1,4,0.99,COMPLETE
7,7,0.8099296109381946,2020-11-24 10:15:24.618200,2020-11-24 12:18:59.146098,0 days 02:03:34.527898000,0.45000000000000007,0.12000000000000001,3,0.1663775866539445,21,1,683,5,0,0.61,COMPLETE
8,8,0.8162789405037671,2020-11-24 10:15:24.664337,2020-11-24 14:15:44.887514,0 days 04:00:20.223177000,0.36,0.21000000000000002,5,0.26802746869416016,20,3,1000,5,3,0.9,COMPLETE
9,9,0.8245836200587655,2020-11-24 10:15:24.690109,2020-11-24 11:49:20.174780,0 days 01:33:55.484671000,0.54,0.61,3,0.025583989650580567,19,5,232,0,0,0.5,COMPLETE
10,10,0.8138410416618846,2020-11-24 10:15:24.716462,2020-11-24 11:02:20.191526,0 days 00:46:55.475064000,0.38,0.45999999999999996,0,0.009976546644176857,6,4,206,1,3,0.8200000000000001,COMPLETE
11,11,0.8224069733351553,2020-11-24 10:15:24.719577,2020-11-24 10:56:59.306214,0 days 00:41:34.586637000,0.69,0.54,0,0.08116567777983998,6,5,171,5,4,0.6,COMPLETE
12,12,0.8219126203629165,2020-11-24 10:15:24.718761,2020-11-24 13:31:09.006259,0 days 03:15:44.287498000,0.45999999999999996,0.26,5,0.013467725387254128,20,3,646,0,3,0.8200000000000001,COMPLETE
13,13,0.8091919869016821,2020-11-24 10:15:24.791048,2020-11-24 11:28:29.741767,0 days 01:13:04.950719000,0.6799999999999999,0.13,1,0.3635105136457323,6,0,485,3,2,0.62,COMPLETE
14,14,0.8106774487547872,2020-11-24 10:15:24.803220,2020-11-24 11:43:51.925370,0 days 01:28:27.122150000,0.28,0.37,0,0.009585104678927692,23,0,213,5,3,0.73,COMPLETE
15,15,0.8196953869448992,2020-11-24 10:15:24.791904,2020-11-24 12:17:25.248771,0 days 02:02:00.456867000,0.45999999999999996,0.94,2,0.12378859046890205,19,0,181,5,5,0.75,COMPLETE
16,16,0.8182474656744153,2020-11-24 10:15:24.834908,2020-11-24 11:05:08.007728,0 days 00:49:43.172820000,0.15000000000000002,0.48,1,0.027656979985649602,4,0,507,2,4,0.5,COMPLETE
17,17,0.8140891419851771,2020-11-24 10:15:24.793750,2020-11-24 13:55:26.734883,0 days 03:40:01.941133000,0.53,0.16,4,0.006758401467581354,14,2,816,5,3,0.87,COMPLETE
